"emoji"
"🖕"
"👹"
"👺"
"😠"
"😡"
"🤬"
"💩"
"🤡"
"🤢"
"🤮"
"🔫"
"💣"
"🧨"
"🪓"
"🔪"
"🗡"
"⚔️"
"💊"
"🩻"
"⛔️"
"🚫"
"💢"
"❗"
